Domain,Notes
goodbytetelegramm[.]com,Download server (Netsupport)
pub-6728b11f74fd435f926ed25c5f2952bb[.]r2[.]dev,Castleloader
urutyka[.]com,Castleloader
drrajivparti[.]com,Netsupport
eazysitebuilder[.]com,Netsupport
garrigin[.]com,Castleloader
grorriner[.]com,Castleloader
grenagana[.]com,Castleloader
ebedidance[.]com,NetSupport
socom-game[.]com,NetSupport
fangorinaf[.]com,Download server (Netsupport)
strainted[.]com,Download server (Castle Stealer)
noidret[.]com,Castleloader
quiantar[.]com,Download server (Needle)
kileant[.]com,NeedleStealer
p-rala[.]com,Netsupport
italianhitech[.]com,Netsupport
qxvnrta[.]com,Castleloader
kaneta[.]com,Castleloader
monblare[.]com,Castleloader
avivtech[.]org,Castleloader
thenugcompany[.]org,Pulled new CastleLoader stager
skipraid[.]com,"Found June 24, 2026 — Cloudflare"
claudenell[.]net,Finger domain — points to avivtech default3
claudettes[.]net,"Finger domain, June 24, 2026"
teamsvoicepremium[.]com,"Finger domain, June 24, 2026"
avivtech[.]org,"Pulling py-Castle payloads June 23–24, 2026"
hobtech[.]net,Not delivering when queried
monblare[.]com,"No detections, hosted with kaneta, cert valid through August"
