SHA256,Notes
844beff0b17efa459ddbec8f5449870faab11f3996367c0cf17d0d46b66b5872,NeedleStealer (x32 Golang)
2d38302a12a13cd11e8df9450f503f68cf3406f0d9a22bf24f251b76b11889d8,NeedleStealer (x64 Golang) / encrypted on disk
bd848c13419ac122dfb2c29fd802235df3d97165c90ae482008282d3429adcb3,NeedleStealer (Rust) / encrypted on disk
3331e1ffe19874215472217c5e94f5a0c6d8e18c4ac7111d3937aa0ad5e9b4a5,Legitimate Node.exe used for shellcode loader
ce3beb6c6c89461af3dbb3965f8f28e2659b4d7d6a69ca2c29cb64ae6690890c,NodeJS injector for NeedleStealer
2ca3840f3443aebf660e7da120cfce390e1d5ba6fd7a061a0c8af0757cb9f467,NodeJS injector for NeedleStealer
fa6001bf4f6e6b518a8fbd58b3d49ef04f24d9dbcc42b6fcd071f212babcba34,Lobshot payload from tasking
7078a5a10f44fe304fa0ed89ae22e7a7f7fd2bdfe126819f22dc520b5f4f80a6,New CLR Injector (CastleStealer)
8333a66500067ef28442ba4ca88d289e7fec65987888d7353339517811b79d2f,Powershell stager (CastleLoader)
0c48fd6a18ad9c701b254bbdd412efbf7dfdd2be6534a61c14bce719d259df9f,Related to Lobshot / VT Retro Hunt
Fa67487da701ce1d61ee3abb84869f669a6c2aa50ca0148a3c4a87e667716638,Related to Lobshot / VT Retro Hunt
2fcf553b9656523b3207c08cdf16f7be9a25e55cf8c29f5caf933151c9214367,Related to Lobshot / VT Retro Hunt
Edff43ecdf7aa476331d925db04e68a2251920165a2109be9df91a56d86b87c7,Castleloader stage 2 shellcode
2db49c8a0580563092088b059cc6aa4b65f4641ff7ce05ad0a99f323d9c949bc,Castleloader (NSIS package)
edff43ecdf7aa476331d925db04e68a2251920165a2109be9df91a56d86b87c7,Castleloader
