IOC,Type,Description
securehubcloud[.]com,Domain,C2 infrastructure apex observed serving the Kali365 backend.
*.securehubcloud[.]com,Domain Wildcard,All subdomains under securehubcloud[.]com should be treated as malicious cluster C2 infrastructure.
api[.]securehubcloud[.]com,Domain,Observed Kali365 backend C2 host.
boss[.]securehubcloud[.]com,Domain,Observed Kali365 backend C2 host.
panel[.]securehubcloud[.]com,Domain,Observed Kali365 backend C2 host.
attachedfile[.]com,Domain,Primary phishing zone apex observed in this cluster.
*.attachedfile[.]com,Domain Wildcard,All subdomains under attachedfile[.]com should be treated as malicious.
8r[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
acc[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
account[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
api[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
auth[.]mail[.]ru[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
blog[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
cpanel[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
cpcalendars[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
cpcontacts[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
csp[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
disk[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
g[.]sst[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
gdw55e[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
gui[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
live[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
login[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
mail[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
mail[.]ru[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
mta-sts[.]mail[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
ok[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
okta[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
outlook[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
reporting[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
ru[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
sk[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
sso[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
ssl[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
sst[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
vpce[.]gdw55e[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
apm[.]vpce[.]gdw55e[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
webdisk[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
webmail[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
www[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
www[.]auth[.]mail[.]ru[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
www[.]cloud[.]mail[.]ru[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
www[.]disk[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
www[.]yadi[.]sk[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
yadi[.]sk[.]attachedfile[.]com,Domain,Observed subdomain in the primary phishing zone.
greatness-marketing[.]top,Domain,Observed MAX Messenger takeover domain.
tk[.]mowell[.]tech,Domain,Tracking or pixel domain associated with the MAX Messenger takeover variant; observed pixel_id 906596682876295936.
app[.]aermfq[.]com,Domain,Observed phishing or lure domain associated with the cluster.
hallttechav[.]com,Domain,Observed phishing or lure domain associated with the cluster.
trimedlting[.]com,Domain,Observed phishing or lure domain associated with the cluster.
beatsynash[.]com,Domain,Observed phishing or lure domain associated with the cluster.
hendersonscr[.]com,Domain,Observed phishing or lure domain associated with the cluster.
venturrascv[.]com,Domain,Observed phishing or lure domain associated with the cluster.
cousinpackaging[.]com,Domain,Observed phishing or lure domain associated with the cluster.
lineinvestments[.]info,Domain,Observed phishing or lure domain associated with the cluster.
xzjkmh[.]icu,Domain,Observed phishing or lure domain associated with the cluster.
creativelives[.]org,Domain,Observed phishing or lure domain associated with the cluster.
livedrivecdn[.]co,Domain,Observed phishing or lure domain associated with the cluster.
yxfrdv[.]icu,Domain,Observed phishing or lure domain associated with the cluster.
data-secured[.]org,Domain,Observed phishing or lure domain associated with the cluster.
remoska-cz[.]com,Domain,Observed phishing or lure domain associated with the cluster.
zuccainc[.]com,Domain,Observed phishing or lure domain associated with the cluster.
documentsystems[.]net,Domain,Observed phishing or lure domain associated with the cluster.
reviewpdf[.]site,Domain,Observed phishing or lure domain associated with the cluster.
*.b875e3d068d947ba88099fe9[.]workers[.]dev,Domain Wildcard,Cloudflare Workers parent subdomain associated with the cluster; block all child hosts.
